order_id,order_date,ship_date,ship_mode,customer_id,customer_name,segment,country,city,state,postal_code,region,product_id,category,sub_category,product_name,sales,quantity,discount,profit
CA-2020-100001,2020-09-20,2020-09-27,Second Class,C100001,Customer 1,Corporate,United States,Seattle,Washington,98101,West,P100001,Technology,Accessories,Mouse,733.74,5,0.1,30.37
CA-2020-100002,2020-08-24,2020-08-30,First Class,C100002,Customer 2,Consumer,United States,Chicago,Illinois,60601,Central,P100002,Technology,Machines,Printer,549.67,3,0.2,99.33
CA-2019-100003,2019-12-09,2019-12-10,Same Day,C100003,Customer 3,Home Office,United States,Houston,Texas,77001,Central,P100003,Furniture,Bookcases,Bookcase,538.96,9,0.3,145.82
CA-2021-100004,2021-09-06,2021-09-12,Second Class,C100004,Customer 4,Consumer,United States,Houston,Texas,77001,Central,P100004,Technology,Accessories,Mouse,840.53,1,0.0,250.13
CA-2020-100005,2020-02-07,2020-02-08,Standard Class,C100005,Customer 5,Consumer,United States,Houston,Texas,77001,Central,P100005,Office Supplies,Paper,Copy Paper,1367.8,4,0.0,352.89
CA-2019-100006,2019-05-05,2019-05-12,First Class,C100006,Customer 6,Consumer,United States,Los Angeles,California,90001,West,P100006,Office Supplies,Binders,Binder,850.83,4,0.1,257.25
CA-2022-100007,2022-12-22,2022-12-24,Standard Class,C100007,Customer 7,Home Office,United States,New York,New York,10001,East,P100007,Office Supplies,Storage,Storage Box,795.06,6,0.2,246.04
CA-2021-100008,2021-04-03,2021-04-10,First Class,C100008,Customer 8,Home Office,United States,Seattle,Washington,98101,West,P100008,Furniture,Tables,Conference Table,92.67,10,0.2,10.94
CA-2021-100009,2021-05-15,2021-05-16,Standard Class,C100009,Customer 9,Corporate,United States,Chicago,Illinois,60601,Central,P100009,Technology,Phones,Smartphone,959.24,10,0.2,178.95
CA-2022-100010,2022-01-13,2022-01-14,Same Day,C100010,Customer 10,Consumer,United States,New York,New York,10001,East,P100010,Technology,Accessories,Mouse,1352.75,6,0.1,382.19
CA-2019-100011,2019-11-13,2019-11-18,Same Day,C100011,Customer 11,Corporate,United States,Los Angeles,California,90001,West,P100011,Furniture,Bookcases,Bookcase,1911.01,4,0.1,515.87
CA-2021-100012,2021-05-18,2021-05-20,Same Day,C100012,Customer 12,Home Office,United States,New York,New York,10001,East,P100012,Furniture,Bookcases,Bookcase,1322.32,8,0.1,120.15
CA-2019-100013,2019-04-26,2019-04-28,First Class,C100013,Customer 13,Corporate,United States,Houston,Texas,77001,Central,P100013,Office Supplies,Binders,Binder,1294.03,7,0.3,210.36
CA-2019-100014,2019-08-13,2019-08-17,Second Class,C100014,Customer 14,Home Office,United States,Houston,Texas,77001,Central,P100014,Office Supplies,Paper,Copy Paper,1522.37,4,0.0,105.83
CA-2019-100015,2019-02-15,2019-02-19,First Class,C100015,Customer 15,Corporate,United States,Philadelphia,Pennsylvania,19104,East,P100015,Technology,Phones,Smartphone,1244.66,8,0.2,88.16
CA-2021-100016,2021-01-19,2021-01-24,Same Day,C100016,Customer 16,Corporate,United States,New York,New York,10001,East,P100016,Furniture,Chairs,Office Chair,72.96,3,0.2,14.53
CA-2020-100017,2020-02-12,2020-02-18,Standard Class,C100017,Customer 17,Home Office,United States,Houston,Texas,77001,Central,P100017,Technology,Machines,Printer,747.8,1,0.0,79.98
CA-2021-100018,2021-09-19,2021-09-21,Standard Class,C100018,Customer 18,Corporate,United States,Houston,Texas,77001,Central,P100018,Technology,Machines,Printer,288.63,9,0.1,48.28
CA-2021-100019,2021-08-02,2021-08-08,Second Class,C100019,Customer 19,Home Office,United States,Houston,Texas,77001,Central,P100019,Office Supplies,Paper,Copy Paper,1894.27,4,0.1,94.74
CA-2019-100020,2019-12-15,2019-12-16,Standard Class,C100020,Customer 20,Consumer,United States,Chicago,Illinois,60601,Central,P100020,Technology,Accessories,Mouse,1023.26,10,0.1,187.57
CA-2021-100021,2021-02-25,2021-03-04,Standard Class,C100021,Customer 21,Corporate,United States,Seattle,Washington,98101,West,P100021,Office Supplies,Storage,Storage Box,1595.84,2,0.0,261.07
CA-2022-100022,2022-05-30,2022-06-01,First Class,C100022,Customer 22,Home Office,United States,Philadelphia,Pennsylvania,19104,East,P100022,Technology,Phones,Smartphone,801.46,2,0.2,19.91
CA-2021-100023,2021-07-31,2021-08-03,Standard Class,C100023,Customer 23,Home Office,United States,Houston,Texas,77001,Central,P100023,Technology,Machines,Printer,1326.16,3,0.1,164.04
CA-2021-100024,2021-07-12,2021-07-18,Second Class,C100024,Customer 24,Home Office,United States,New York,New York,10001,East,P100024,Technology,Accessories,Mouse,1076.99,9,0.3,95.37
CA-2021-100025,2021-01-05,2021-01-10,Same Day,C100025,Customer 25,Home Office,United States,Los Angeles,California,90001,West,P100025,Furniture,Bookcases,Bookcase,799.26,3,0.2,108.9
CA-2019-100026,2019-04-08,2019-04-10,Second Class,C100026,Customer 26,Consumer,United States,New York,New York,10001,East,P100026,Technology,Accessories,Mouse,670.38,10,0.0,99.59
CA-2020-100027,2020-04-07,2020-04-14,Same Day,C100027,Customer 27,Home Office,United States,New York,New York,10001,East,P100027,Furniture,Tables,Conference Table,606.1,7,0.3,168.44
